epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.9497,1.94491,2.0572,1.43241,0.43779,0.55712,0.46916,0.23041,1.78075,1.62412,1.39259,0.000549493,0.000549493,0.000549493
2,150.636,1.80591,1.56894,1.34711,0.45563,0.51646,0.45384,0.21621,1.80714,1.64719,1.40949,0.00109422,0.00109422,0.00109422
3,225.793,1.79253,1.51159,1.3438,0.47076,0.53298,0.45917,0.22088,1.79046,1.58886,1.41144,0.00162794,0.00162794,0.00162794
4,283.009,1.765,1.48658,1.32437,0.52069,0.55713,0.53113,0.26666,1.70452,1.49744,1.36407,0.00161749,0.00161749,0.00161749
5,371.863,1.72763,1.44034,1.30798,0.49036,0.57232,0.51957,0.25789,1.73991,1.45583,1.39788,0.00160099,0.00160099,0.00160099
6,448.843,1.71141,1.4228,1.30238,0.51321,0.5706,0.52585,0.27046,1.68432,1.44162,1.35427,0.00158448,0.00158448,0.00158448
7,537.961,1.69252,1.39062,1.28824,0.52783,0.57925,0.55017,0.28255,1.67645,1.44995,1.35288,0.00156798,0.00156798,0.00156798
8,609.012,1.65857,1.36756,1.27697,0.54977,0.58045,0.56091,0.27955,1.66416,1.41107,1.34299,0.00155148,0.00155148,0.00155148
9,682.578,1.65117,1.34615,1.26653,0.5225,0.61828,0.57485,0.2993,1.65841,1.35762,1.33275,0.00153497,0.00153497,0.00153497
10,757.092,1.63559,1.33123,1.25216,0.51507,0.62948,0.56935,0.30129,1.63402,1.33081,1.32813,0.00151847,0.00151847,0.00151847
11,863.108,1.62062,1.30981,1.24529,0.50548,0.63813,0.56279,0.29492,1.6339,1.3456,1.29891,0.00150197,0.00150197,0.00150197
12,933.426,1.62286,1.29809,1.24403,0.56043,0.6218,0.59595,0.31341,1.61814,1.31094,1.30272,0.00148546,0.00148546,0.00148546
13,1030.28,1.59954,1.28229,1.2364,0.52399,0.63421,0.57125,0.29343,1.66964,1.33858,1.32385,0.00146896,0.00146896,0.00146896
14,1098.57,1.58808,1.27777,1.23093,0.54633,0.62923,0.60391,0.31429,1.62177,1.31564,1.30654,0.00145246,0.00145246,0.00145246
15,1165.64,1.571,1.24767,1.2268,0.544,0.64562,0.61412,0.32654,1.60291,1.29358,1.30883,0.00143595,0.00143595,0.00143595
16,1212.24,1.56736,1.25155,1.22228,0.54697,0.62941,0.59217,0.31231,1.65574,1.3134,1.32585,0.00141945,0.00141945,0.00141945
17,1256.48,1.56225,1.22465,1.21833,0.56765,0.64647,0.61026,0.33042,1.60459,1.26088,1.29774,0.00140295,0.00140295,0.00140295
18,1310.07,1.5487,1.21268,1.21249,0.57273,0.61704,0.59891,0.31998,1.608,1.28186,1.29796,0.00138644,0.00138644,0.00138644
19,1359.28,1.54256,1.21686,1.2116,0.56618,0.5908,0.5884,0.3148,1.58291,1.32478,1.28784,0.00136994,0.00136994,0.00136994
20,1432.82,1.51559,1.17497,1.19261,0.55397,0.63854,0.60732,0.3231,1.59558,1.29372,1.27884,0.00135344,0.00135344,0.00135344
21,1482.56,1.52139,1.17836,1.19377,0.55953,0.64361,0.59924,0.3291,1.57151,1.24785,1.29012,0.00133693,0.00133693,0.00133693
22,1533.18,1.49861,1.1618,1.18866,0.56555,0.64809,0.6199,0.33429,1.60086,1.25212,1.29345,0.00132043,0.00132043,0.00132043
23,1586.98,1.48278,1.14648,1.1789,0.60206,0.59227,0.61318,0.32779,1.61545,1.30282,1.29427,0.00130393,0.00130393,0.00130393
24,1671.13,1.47692,1.13767,1.17877,0.55696,0.64565,0.59983,0.32604,1.59778,1.28463,1.29955,0.00128742,0.00128742,0.00128742
25,1731.88,1.47409,1.11857,1.16858,0.59275,0.60378,0.60972,0.33284,1.57077,1.25595,1.26928,0.00127092,0.00127092,0.00127092
26,1808.01,1.47361,1.11582,1.16931,0.58387,0.63158,0.61069,0.33474,1.58042,1.24362,1.28696,0.00125442,0.00125442,0.00125442
27,1849.9,1.45433,1.10413,1.16269,0.57208,0.61842,0.604,0.31961,1.62966,1.27444,1.31073,0.00123791,0.00123791,0.00123791
28,1930.2,1.45403,1.09673,1.16231,0.55663,0.66616,0.61433,0.33624,1.59504,1.25292,1.30248,0.00122141,0.00122141,0.00122141
29,2004.02,1.446,1.08132,1.1573,0.58082,0.65744,0.62428,0.34374,1.56684,1.22911,1.27754,0.00120491,0.00120491,0.00120491
30,2083.71,1.44241,1.08034,1.15655,0.57266,0.65496,0.61941,0.33593,1.57503,1.2291,1.2863,0.0011884,0.0011884,0.0011884
31,2152.02,1.43091,1.06303,1.14806,0.58647,0.6364,0.61514,0.33281,1.56371,1.22981,1.28532,0.0011719,0.0011719,0.0011719
32,2258.85,1.41626,1.04994,1.14747,0.56312,0.66769,0.62383,0.34456,1.58064,1.2196,1.29079,0.0011554,0.0011554,0.0011554
33,2329.7,1.41524,1.04957,1.14128,0.55573,0.63781,0.61768,0.33738,1.61596,1.2312,1.3169,0.00113889,0.00113889,0.00113889
34,2419.72,1.40144,1.02473,1.13021,0.57445,0.64099,0.6107,0.33941,1.59189,1.23934,1.30589,0.00112239,0.00112239,0.00112239
35,2489.07,1.38852,1.0172,1.12618,0.58456,0.65007,0.62413,0.34148,1.58714,1.20894,1.29322,0.00110589,0.00110589,0.00110589
36,2528.43,1.38102,1.00605,1.13002,0.57695,0.61121,0.60016,0.32746,1.61341,1.28175,1.311,0.00108938,0.00108938,0.00108938
37,2582.92,1.38805,1.00435,1.12835,0.60409,0.62412,0.6209,0.34015,1.58736,1.23222,1.30665,0.00107288,0.00107288,0.00107288
38,2656.1,1.35464,0.97315,1.11423,0.5628,0.60267,0.59306,0.32313,1.61891,1.32298,1.31507,0.00105638,0.00105638,0.00105638
39,2701.54,1.36014,0.98169,1.11609,0.6046,0.62203,0.61895,0.34123,1.57559,1.24753,1.30005,0.00103987,0.00103987,0.00103987
40,2753.37,1.34724,0.9628,1.10772,0.58201,0.64444,0.61496,0.33471,1.59941,1.23548,1.30046,0.00102337,0.00102337,0.00102337
41,2797.12,1.34114,0.95786,1.10712,0.57376,0.64031,0.60445,0.32681,1.62218,1.25884,1.31335,0.00100687,0.00100687,0.00100687
42,2875.54,1.35194,0.96371,1.10915,0.54501,0.64506,0.60249,0.32113,1.64708,1.28003,1.32142,0.000990365,0.000990365,0.000990365
43,2916.95,1.32538,0.93317,1.09891,0.57486,0.65343,0.61304,0.34154,1.61899,1.27621,1.31278,0.000973861,0.000973861,0.000973861
44,2966.08,1.31421,0.91885,1.09555,0.58906,0.65244,0.62019,0.3391,1.59815,1.24924,1.30212,0.000957358,0.000957358,0.000957358
45,3027.97,1.30954,0.91856,1.08863,0.56211,0.65548,0.60318,0.32307,1.64179,1.27286,1.33501,0.000940855,0.000940855,0.000940855
46,3075.86,1.29952,0.9055,1.08891,0.56168,0.6492,0.60816,0.33174,1.64206,1.30094,1.33104,0.000924352,0.000924352,0.000924352
47,3130.23,1.29607,0.89697,1.08376,0.5819,0.6215,0.61091,0.33661,1.59234,1.27597,1.3171,0.000907848,0.000907848,0.000907848
48,3200.29,1.27612,0.88819,1.07793,0.59652,0.64162,0.61935,0.3408,1.60537,1.22932,1.30867,0.000891345,0.000891345,0.000891345
49,3252.04,1.28358,0.88607,1.07937,0.56947,0.66264,0.61121,0.32894,1.63328,1.27917,1.32788,0.000874842,0.000874842,0.000874842
50,3304.91,1.26769,0.87136,1.07016,0.57927,0.63821,0.6044,0.32846,1.63903,1.28948,1.34598,0.000858338,0.000858338,0.000858338
51,3367.32,1.27215,0.87014,1.07611,0.58516,0.64766,0.61465,0.33816,1.61775,1.25525,1.32544,0.000841835,0.000841835,0.000841835
52,3420.36,1.25188,0.84602,1.06211,0.58048,0.65204,0.61292,0.33359,1.64848,1.3057,1.34265,0.000825332,0.000825332,0.000825332
53,3467.22,1.23364,0.83685,1.05802,0.58338,0.6331,0.61059,0.33715,1.61364,1.28055,1.32193,0.000808828,0.000808828,0.000808828
54,3523.69,1.24785,0.83711,1.05964,0.57991,0.62541,0.59818,0.32036,1.6569,1.32516,1.35691,0.000792325,0.000792325,0.000792325
55,3599.06,1.213,0.82012,1.04727,0.57957,0.63543,0.6041,0.32867,1.66138,1.31938,1.35058,0.000775822,0.000775822,0.000775822
56,4049.94,1.21565,0.81235,1.04713,0.58159,0.62383,0.60028,0.32305,1.66289,1.30005,1.35358,0.000759318,0.000759318,0.000759318
57,4116.46,1.21486,0.81242,1.0474,0.57902,0.65119,0.60167,0.32528,1.65425,1.31019,1.35041,0.000742815,0.000742815,0.000742815
58,4189.37,1.19887,0.79887,1.04084,0.59703,0.60434,0.59632,0.32615,1.66645,1.34384,1.35726,0.000726312,0.000726312,0.000726312
59,4276.78,1.1931,0.79103,1.04027,0.58403,0.64706,0.60075,0.32368,1.66594,1.35108,1.36587,0.000709809,0.000709809,0.000709809
