epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.4001,1.88227,1.99687,1.51365,0.37059,0.54764,0.36212,0.17261,1.74904,1.77014,1.42189,0.00055258,0.00055258,0.00055258
2,149.693,1.76271,1.64935,1.43793,0.48294,0.5761,0.48931,0.23416,1.7529,1.53468,1.43495,0.00110276,0.00110276,0.00110276
3,219.789,1.7414,1.59932,1.42622,0.44863,0.51923,0.45244,0.22814,1.77735,1.61047,1.45579,0.00164744,0.00164744,0.00164744
4,290.649,1.72209,1.58049,1.42106,0.52804,0.57492,0.54709,0.27871,1.68755,1.48774,1.41156,0.00164225,0.00164225,0.00164225
5,363.127,1.68341,1.52165,1.39706,0.49177,0.61168,0.53707,0.27389,1.66444,1.46864,1.39477,0.00163399,0.00163399,0.00163399
6,432.459,1.67866,1.50137,1.38402,0.50228,0.62071,0.57226,0.29191,1.67532,1.43617,1.40172,0.00162574,0.00162574,0.00162574
7,503.126,1.64161,1.466,1.37237,0.52888,0.60069,0.56301,0.29387,1.67268,1.40601,1.3935,0.00161749,0.00161749,0.00161749
8,580.372,1.62646,1.43146,1.3591,0.51353,0.62221,0.5596,0.2837,1.68365,1.39341,1.39188,0.00160924,0.00160924,0.00160924
9,658.824,1.60469,1.40386,1.34703,0.54702,0.60284,0.57035,0.29783,1.67694,1.36846,1.38868,0.00160099,0.00160099,0.00160099
10,769.714,1.59865,1.39206,1.34201,0.55306,0.60314,0.57078,0.29534,1.65087,1.36575,1.38426,0.00159274,0.00159274,0.00159274
11,922.747,1.58534,1.38939,1.33807,0.53834,0.64447,0.58314,0.31352,1.60895,1.34659,1.35625,0.00158448,0.00158448,0.00158448
12,974.003,1.579,1.35544,1.32227,0.52827,0.62762,0.56757,0.30207,1.63979,1.36229,1.38036,0.00157623,0.00157623,0.00157623
13,1024.81,1.54912,1.33288,1.31027,0.54799,0.63524,0.59984,0.31809,1.60347,1.31987,1.35782,0.00156798,0.00156798,0.00156798
14,1075.6,1.56115,1.35629,1.31892,0.53035,0.65956,0.60399,0.31898,1.61529,1.32713,1.36154,0.00155973,0.00155973,0.00155973
15,1127.17,1.54071,1.32596,1.30092,0.58702,0.61656,0.61992,0.33669,1.59613,1.30305,1.33581,0.00155148,0.00155148,0.00155148
16,1179.24,1.53815,1.30371,1.30171,0.5697,0.63459,0.60576,0.3257,1.59238,1.27696,1.36155,0.00154323,0.00154323,0.00154323
17,1234.16,1.52267,1.28738,1.29271,0.57787,0.61151,0.61065,0.33241,1.57718,1.30013,1.32936,0.00153497,0.00153497,0.00153497
18,1288.67,1.50933,1.26695,1.28349,0.55872,0.63846,0.60879,0.32649,1.57135,1.29858,1.33349,0.00152672,0.00152672,0.00152672
19,1343.21,1.50885,1.27007,1.28919,0.56863,0.64021,0.61463,0.33309,1.58697,1.28344,1.35511,0.00151847,0.00151847,0.00151847
20,1397.14,1.49665,1.24481,1.28154,0.56827,0.66222,0.63207,0.34868,1.56242,1.24794,1.32758,0.00151022,0.00151022,0.00151022
21,1451.14,1.48143,1.23523,1.26832,0.58476,0.63666,0.60919,0.33644,1.59196,1.27703,1.34363,0.00150197,0.00150197,0.00150197
22,1504.47,1.47833,1.22274,1.26163,0.56222,0.63284,0.60338,0.32692,1.63022,1.31054,1.35549,0.00149372,0.00149372,0.00149372
23,1558.23,1.48647,1.22998,1.26403,0.5629,0.61658,0.59004,0.32225,1.60975,1.30932,1.34915,0.00148546,0.00148546,0.00148546
24,1611.99,1.46521,1.20975,1.25036,0.57048,0.63828,0.61161,0.33554,1.60196,1.27059,1.34556,0.00147721,0.00147721,0.00147721
25,1665.2,1.45736,1.19273,1.25374,0.60142,0.62386,0.62074,0.33961,1.57811,1.26303,1.34962,0.00146896,0.00146896,0.00146896
26,1720.08,1.45358,1.19455,1.25141,0.56974,0.61579,0.59675,0.31779,1.62064,1.30317,1.35812,0.00146071,0.00146071,0.00146071
27,1776.03,1.43218,1.16496,1.2357,0.5531,0.6793,0.62198,0.34326,1.58959,1.25193,1.33784,0.00145246,0.00145246,0.00145246
28,1827.42,1.43252,1.15943,1.23741,0.55657,0.65519,0.60135,0.32889,1.60125,1.31059,1.3607,0.00144421,0.00144421,0.00144421
29,1878.3,1.42667,1.1529,1.23495,0.58478,0.64139,0.6168,0.33898,1.58715,1.26815,1.34353,0.00143595,0.00143595,0.00143595
30,1929.15,1.40234,1.12482,1.21674,0.60291,0.62957,0.62103,0.33528,1.58765,1.30145,1.34441,0.0014277,0.0014277,0.0014277
31,1980.38,1.41404,1.11059,1.22462,0.60148,0.62348,0.61701,0.32772,1.60486,1.2892,1.36488,0.00141945,0.00141945,0.00141945
32,2031.94,1.39338,1.10346,1.21239,0.58027,0.64617,0.62673,0.34364,1.59266,1.26973,1.362,0.0014112,0.0014112,0.0014112
33,2084.07,1.39253,1.08975,1.20878,0.57233,0.64397,0.60187,0.32559,1.61366,1.29481,1.37189,0.00140295,0.00140295,0.00140295
34,2134.88,1.39224,1.08948,1.21153,0.5856,0.63361,0.60838,0.33301,1.60859,1.28688,1.36734,0.0013947,0.0013947,0.0013947
35,2185.83,1.371,1.06948,1.19928,0.59967,0.63575,0.62336,0.34261,1.58672,1.28467,1.35315,0.00138644,0.00138644,0.00138644
36,2236.64,1.35739,1.05499,1.19259,0.59519,0.63441,0.62287,0.34948,1.57845,1.24451,1.34736,0.00137819,0.00137819,0.00137819
37,2287.57,1.36605,1.04415,1.19477,0.55226,0.62363,0.58296,0.31254,1.64467,1.34739,1.38348,0.00136994,0.00136994,0.00136994
38,2338.71,1.3373,1.0121,1.17828,0.59186,0.62771,0.62356,0.34284,1.61412,1.26992,1.37559,0.00136169,0.00136169,0.00136169
39,2390.62,1.35217,1.01951,1.18223,0.57989,0.66228,0.62143,0.34494,1.58965,1.26617,1.36509,0.00135344,0.00135344,0.00135344
40,2906.37,1.3324,1.00535,1.17719,0.58188,0.61316,0.59515,0.32492,1.63911,1.31603,1.38135,0.00134519,0.00134519,0.00134519
41,2956.78,1.31773,0.98342,1.16339,0.58197,0.63255,0.61394,0.33654,1.61842,1.28018,1.39098,0.00133693,0.00133693,0.00133693
42,3007.11,1.30967,0.97326,1.16199,0.59039,0.64291,0.62153,0.34323,1.6136,1.29118,1.36891,0.00132868,0.00132868,0.00132868
43,3057.45,1.30376,0.97109,1.15983,0.58136,0.64948,0.622,0.3338,1.62547,1.29947,1.38613,0.00132043,0.00132043,0.00132043
44,3108.43,1.30971,0.96594,1.15828,0.57605,0.61363,0.59204,0.3141,1.64699,1.33263,1.40162,0.00131218,0.00131218,0.00131218
45,3159.98,1.28107,0.94629,1.14494,0.5917,0.58448,0.59444,0.3182,1.65234,1.35216,1.41149,0.00130393,0.00130393,0.00130393
46,3210.67,1.27909,0.93126,1.14207,0.5839,0.61803,0.60747,0.33209,1.64109,1.31638,1.39357,0.00129568,0.00129568,0.00129568
47,3261.45,1.27626,0.92303,1.13982,0.56811,0.62079,0.57766,0.30178,1.69418,1.37525,1.43183,0.00128742,0.00128742,0.00128742
48,3312.03,1.25875,0.90494,1.13126,0.59602,0.60177,0.5962,0.32176,1.64954,1.34743,1.40548,0.00127917,0.00127917,0.00127917
49,3362.99,1.26451,0.90843,1.13545,0.57515,0.62892,0.58938,0.32434,1.63996,1.33075,1.40464,0.00127092,0.00127092,0.00127092
50,3414.03,1.25096,0.89703,1.1273,0.56242,0.62491,0.5892,0.32223,1.65154,1.35301,1.4091,0.00126267,0.00126267,0.00126267
51,3465.63,1.23878,0.88265,1.11987,0.55063,0.63475,0.5976,0.33112,1.63507,1.36482,1.40363,0.00125442,0.00125442,0.00125442
52,3517.22,1.23315,0.87885,1.1198,0.56299,0.63087,0.58485,0.3158,1.68034,1.3755,1.42768,0.00124617,0.00124617,0.00124617
53,3568.18,1.22958,0.87213,1.11332,0.56394,0.61621,0.5873,0.3141,1.68149,1.38301,1.43457,0.00123791,0.00123791,0.00123791
